,fb_vad_comp_r,fb_vader_pos_r,fb_vad_comp75_r,fb_vader_neg75_r,PANAS_Pos_r,PANAS_Neg_r,tot_affect_r
163,9.0,89.0,22.5,302.5,212.5,223.5,385.5
165,56.0,131.0,54.0,510.0,173.0,763.0,16.5
166,248.0,175.0,303.0,405.0,532.5,223.5,600.0
168,481.0,488.0,478.5,361.0,709.5,147.5,727.0
171,434.0,506.0,255.5,111.5,136.5,595.5,133.5
175,252.0,344.0,362.0,535.0,652.0,510.5,476.0
176,373.0,383.0,439.0,451.0,762.0,114.5,763.5
177,271.0,339.0,193.0,111.5,652.0,396.5,574.5
179,407.0,422.0,444.0,434.0,532.5,650.5,251.0
180,197.0,345.0,255.5,500.0,384.5,223.5,509.0
181,523.0,401.0,381.0,111.5,532.5,396.5,476.0
183,473.5,530.5,540.5,273.0,532.5,306.0,542.5
184,39.5,38.5,22.5,111.5,212.5,475.5,232.0
185,119.0,105.0,157.5,339.5,288.0,306.0,385.5
186,149.0,173.0,193.0,480.0,136.5,595.5,133.5
188,141.0,200.0,97.5,281.5,618.5,262.0,619.0
190,424.0,330.0,459.0,473.0,682.5,262.0,659.5
192,122.0,224.0,207.0,521.0,330.5,351.5,385.5
194,560.0,544.0,512.0,111.5,5.0,510.5,16.5
195,295.0,457.0,245.5,493.5,94.5,306.0,232.0
199,539.0,491.0,498.0,111.5,490.0,351.5,476.0
202,341.0,331.0,462.5,482.5,444.0,621.5,232.0
203,452.0,231.0,418.0,307.0,762.0,758.0,251.0
204,45.0,135.0,93.0,530.0,173.0,306.0,301.0
205,200.0,286.0,116.5,111.5,444.0,396.5,418.0
206,51.0,18.0,22.5,111.5,288.0,650.5,168.0
207,113.0,28.0,53.0,111.5,444.0,706.0,168.0
210,510.0,494.0,527.0,111.5,652.0,706.0,251.0
211,274.0,256.0,111.5,111.5,577.5,114.5,678.5
213,554.5,425.5,557.5,228.5,94.5,147.5,331.0
215,447.0,370.0,505.0,441.0,767.5,475.5,698.0
218,359.0,443.0,360.0,111.5,490.0,223.5,574.5
219,395.0,320.0,389.0,111.5,618.5,262.0,619.0
220,361.0,392.0,349.0,458.0,40.0,677.0,26.0
222,23.0,29.0,46.0,541.0,212.5,187.0,418.0
224,39.5,38.5,22.5,111.5,444.0,569.5,274.0
226,314.0,296.0,326.0,361.0,728.5,306.0,678.5
227,127.5,244.5,218.0,527.5,652.0,147.5,698.0
228,330.0,281.0,303.0,260.0,618.5,90.0,714.5
229,525.0,221.0,453.0,111.5,444.0,650.5,218.0
231,54.0,57.0,97.5,423.5,577.5,569.5,357.5
232,96.5,32.5,22.5,111.5,384.5,262.0,476.0
233,466.0,469.0,454.5,111.5,444.0,67.0,659.5
236,130.0,148.0,210.5,400.0,173.0,650.5,111.0
237,125.0,124.0,109.0,364.0,532.5,351.5,509.0
240,260.0,291.0,249.0,318.0,173.0,147.5,418.0
241,307.0,310.0,398.0,373.0,40.0,262.0,168.0
242,123.0,276.0,170.5,553.5,136.5,475.5,202.5
243,346.0,352.0,367.0,405.0,173.0,650.5,111.0
245,74.0,43.0,81.5,111.5,444.0,541.5,301.0
246,318.0,264.0,283.0,111.5,618.5,306.0,600.0
248,18.0,3.0,22.5,111.5,771.0,650.5,600.0
249,251.0,368.0,193.0,253.0,330.5,351.5,385.5
250,449.0,435.0,495.0,235.0,79.5,26.0,447.0
251,58.0,97.0,65.0,333.0,444.0,541.5,301.0
252,186.0,326.0,143.0,242.0,384.5,44.0,659.5
253,275.0,277.0,332.0,415.0,490.0,306.0,509.0
254,482.0,429.0,487.0,331.0,212.5,730.0,55.0
255,416.0,389.0,472.0,361.0,94.5,730.0,29.5
257,179.0,356.0,245.5,547.0,27.0,396.5,71.0
258,368.5,332.5,436.0,378.5,27.0,396.5,71.0
259,554.5,425.5,557.5,228.5,27.0,396.5,71.0
260,165.5,83.5,382.5,512.5,384.5,90.0,619.0
262,297.0,227.0,363.5,423.5,5.0,114.5,87.5
266,253.0,378.0,67.5,111.5,532.5,396.5,476.0
267,182.0,375.0,212.0,257.5,444.0,90.0,639.0
268,498.0,551.0,506.5,396.5,212.5,541.5,202.5
269,104.0,90.0,22.5,111.5,212.5,351.5,301.0
270,385.0,372.0,404.0,111.5,739.0,437.0,639.0
271,300.0,421.0,440.5,111.5,288.0,706.0,111.0
274,215.0,201.0,176.0,231.0,532.5,67.0,698.0
278,258.0,311.0,326.0,492.0,384.5,510.5,301.0
279,507.0,468.0,501.0,280.0,682.5,187.0,698.0
281,282.0,219.0,138.5,111.5,490.0,262.0,542.5
283,406.0,518.0,284.5,111.5,384.5,187.0,542.5
286,220.0,180.0,173.0,111.5,384.5,396.5,385.5
287,1.0,17.0,22.5,534.0,330.5,541.5,251.0
288,506.0,517.0,534.0,292.5,248.5,541.5,218.0
289,244.0,164.0,116.5,111.5,728.5,595.5,476.0
291,173.0,119.0,157.5,111.5,248.5,223.5,418.0
292,317.0,313.0,250.0,301.0,490.0,223.5,574.5
294,7.0,13.0,22.5,111.5,577.5,351.5,542.5
295,52.5,55.5,74.5,515.5,173.0,650.5,111.0
297,443.0,509.0,372.0,111.5,9.5,437.0,35.0
298,441.0,431.0,258.0,111.5,330.5,306.0,418.0
299,493.0,363.0,427.0,111.5,444.0,5.0,727.0
300,247.0,184.0,271.0,111.5,577.5,187.0,639.0
301,203.0,154.0,110.0,111.5,444.0,90.0,639.0
302,354.0,265.0,309.0,286.0,19.5,475.5,46.0
303,427.0,394.0,481.0,392.0,33.5,351.5,111.0
304,537.0,347.0,157.5,111.5,384.5,569.5,251.0
305,451.0,497.0,421.0,111.5,79.5,13.0,476.0
308,143.0,299.0,125.5,543.0,288.0,187.0,476.0
311,457.0,498.0,440.5,111.5,652.0,306.0,619.0
313,386.0,160.0,353.0,111.5,618.5,437.0,509.0
314,374.0,342.0,399.0,407.5,55.0,262.0,202.5
315,224.0,171.0,157.5,232.0,288.0,187.0,476.0
318,519.0,514.0,518.0,111.5,652.0,396.5,574.5
319,437.0,415.0,388.0,266.0,652.0,187.0,678.5
320,336.0,350.0,290.0,324.0,682.5,262.0,659.5
321,268.5,257.5,326.0,111.5,682.5,262.0,659.5
322,194.0,218.0,261.0,493.5,330.5,147.5,542.5
323,101.0,179.0,193.0,111.5,532.5,737.5,149.5
324,26.0,63.0,72.0,439.5,111.0,67.0,447.0
325,127.5,244.5,218.0,527.5,682.5,147.5,714.5
326,378.0,290.0,180.0,463.0,384.5,147.5,574.5
328,227.0,259.0,193.0,279.0,79.5,541.5,111.0
329,309.0,214.0,410.5,111.5,747.5,44.0,766.5
330,73.0,152.0,97.5,442.0,27.0,677.0,16.5
331,311.0,198.0,375.0,350.5,66.5,437.0,149.5
335,14.0,35.0,22.5,111.5,709.5,223.5,698.0
336,287.0,65.0,83.0,111.5,709.5,223.5,698.0
337,219.0,204.0,218.0,428.0,709.5,262.0,678.5
338,468.0,406.0,502.0,265.0,212.5,730.0,55.0
339,243.0,62.0,252.5,111.5,248.5,44.0,600.0
340,18.0,3.0,22.5,111.5,55.0,396.5,149.5
341,31.0,191.0,135.0,558.0,728.5,147.5,735.5
344,496.0,512.0,424.0,111.5,330.5,437.0,331.0
346,528.0,433.0,528.0,254.0,111.0,44.0,476.0
348,199.0,222.0,130.5,111.5,173.0,737.5,40.0
349,500.0,400.0,522.0,405.0,66.5,621.5,55.0
350,420.0,440.0,379.0,111.5,384.5,351.5,418.0
351,559.0,561.0,429.0,111.5,136.5,718.5,46.0
352,18.0,3.0,22.5,111.5,248.5,351.5,331.0
353,473.5,530.5,540.5,273.0,248.5,351.5,331.0
356,124.0,355.0,111.5,252.0,490.0,510.5,357.5
357,225.0,166.0,176.0,482.5,19.5,772.0,1.0
359,239.0,379.0,356.0,476.0,288.0,114.5,542.5
360,211.0,96.0,193.0,396.5,577.5,595.5,331.0
361,167.0,134.0,294.0,237.0,739.0,114.5,749.5
362,413.0,473.0,317.0,111.5,384.5,541.5,274.0
363,44.0,12.0,22.5,111.5,532.5,595.5,301.0
366,322.0,388.0,208.0,305.5,248.5,718.5,71.0
368,272.0,420.0,136.0,111.5,173.0,650.5,111.0
370,134.0,44.0,22.5,111.5,111.0,306.0,251.0
371,323.0,427.0,193.0,111.5,682.5,147.5,714.5
372,379.0,444.0,410.5,499.0,248.5,351.5,331.0
373,381.5,454.5,299.5,463.0,618.5,13.0,749.5
376,398.0,461.0,401.0,449.5,212.5,223.5,385.5
377,419.0,489.0,284.5,111.5,618.5,351.5,574.5
379,150.0,187.0,133.5,484.0,384.5,718.5,133.5
380,188.5,287.5,345.5,545.5,248.5,475.5,251.0
381,151.0,74.0,45.0,111.5,490.0,351.5,476.0
386,439.0,504.0,419.0,111.5,755.5,650.5,509.0
387,320.0,168.0,391.5,353.0,288.0,351.5,357.5
389,488.0,453.0,500.0,111.5,618.5,541.5,418.0
391,168.0,71.0,319.0,417.0,136.5,306.0,274.0
393,273.0,335.0,251.0,111.5,384.5,396.5,385.5
394,88.0,52.0,77.0,262.0,79.5,90.0,357.5
398,306.0,110.0,235.5,111.5,739.0,437.0,639.0
399,201.0,228.0,157.5,477.0,173.0,677.0,87.5
400,229.0,194.0,157.5,111.5,330.5,44.0,639.0
401,436.0,472.0,432.5,111.5,767.5,262.0,749.5
403,70.0,45.0,49.0,346.0,682.5,475.5,542.5
404,176.5,249.5,347.5,497.5,212.5,694.0,87.5
405,527.0,513.0,482.5,111.5,652.0,262.0,639.0
406,42.0,42.0,57.0,555.0,173.0,718.5,55.0
411,410.0,399.0,402.0,111.5,762.0,114.5,763.5
413,337.5,188.5,239.5,225.5,330.5,306.0,418.0
415,24.0,8.0,22.5,111.5,212.5,187.0,418.0
416,91.0,111.0,157.5,471.5,212.5,351.5,301.0
417,223.0,374.0,215.0,317.0,747.5,396.5,678.5
422,383.0,255.0,390.0,247.0,652.0,475.5,509.0
423,438.0,423.0,461.0,323.0,709.5,26.0,759.0
424,464.0,220.0,488.0,111.5,682.5,475.5,542.5
426,160.0,82.0,193.0,396.5,288.0,730.0,71.0
427,294.0,387.0,264.5,366.0,532.5,67.0,698.0
428,313.0,261.0,273.0,111.5,709.5,262.0,678.5
429,433.0,418.0,475.5,305.5,79.5,306.0,218.0
430,152.0,247.0,228.5,537.0,384.5,351.5,418.0
431,158.0,381.0,193.0,551.0,384.5,262.0,476.0
432,329.0,292.0,288.0,319.5,136.5,706.0,55.0
433,27.0,9.0,22.5,111.5,288.0,706.0,111.0
434,411.0,447.0,365.0,375.0,173.0,5.0,619.0
435,110.0,205.0,157.5,368.0,618.5,541.5,418.0
436,450.0,474.0,326.0,111.5,532.5,306.0,542.5
437,365.0,382.0,301.0,311.5,33.5,595.5,35.0
438,36.0,11.0,22.5,111.5,490.0,262.0,542.5
440,78.0,215.0,157.5,553.5,248.5,223.5,418.0
441,446.0,384.0,484.0,426.0,709.5,67.0,749.5
442,363.0,323.0,446.0,447.0,652.0,262.0,639.0
443,462.0,510.0,466.5,322.0,532.5,114.5,659.5
444,79.0,156.0,88.0,239.5,79.5,114.5,331.0
445,209.0,295.0,242.0,487.0,444.0,510.5,331.0
446,265.0,163.0,116.5,111.5,444.0,223.5,542.5
447,267.0,237.0,157.5,111.5,532.5,437.0,447.0
448,531.0,508.0,520.0,299.5,288.0,510.5,251.0
449,485.0,477.0,526.0,368.0,288.0,569.5,218.0
450,71.0,78.0,78.0,357.0,490.0,396.5,447.0
451,417.0,357.0,464.0,401.0,136.5,223.5,331.0
453,207.0,216.0,298.0,457.0,577.5,437.0,476.0
454,140.0,192.0,157.5,315.5,384.5,147.5,574.5
457,349.0,367.0,465.0,341.0,2.5,90.0,87.5
459,242.0,147.0,157.5,111.5,682.5,569.5,447.0
461,10.5,26.5,22.5,233.5,330.5,677.0,168.0
466,380.0,390.0,326.0,111.5,682.5,262.0,659.5
467,63.0,113.0,132.0,475.0,618.5,621.5,331.0
468,145.0,69.0,174.0,111.5,94.5,510.5,149.5
470,281.0,327.0,222.0,111.5,173.0,650.5,111.0
471,139.0,172.0,303.0,480.0,747.5,262.0,727.0
472,545.0,525.0,480.0,111.5,577.5,90.0,698.0
473,180.0,280.0,193.0,522.0,330.5,306.0,418.0
474,520.0,482.0,554.0,434.0,709.5,187.0,714.5
475,360.0,304.0,397.0,295.5,212.5,147.5,447.0
476,89.0,87.0,58.0,223.0,330.5,306.0,418.0
477,86.0,126.0,50.0,111.5,384.5,44.0,659.5
478,264.0,239.0,318.0,378.5,288.0,147.5,509.0
479,340.0,362.0,339.5,385.5,709.5,541.5,509.0
480,289.0,190.0,410.5,309.0,444.0,621.5,232.0
481,288.0,316.0,296.0,111.5,682.5,187.0,698.0
486,353.0,317.0,361.0,111.5,66.5,26.0,418.0
487,517.0,475.0,504.0,111.5,577.5,351.5,542.5
488,206.0,122.0,245.5,111.5,444.0,541.5,301.0
490,292.0,343.0,193.0,111.5,173.0,351.5,274.0
492,236.0,274.0,235.5,257.5,444.0,223.5,542.5
495,188.5,287.5,345.5,545.5,444.0,650.5,218.0
496,533.0,456.0,522.0,349.0,682.5,475.5,542.5
497,155.0,98.0,130.5,325.0,212.5,44.0,574.5
499,305.0,337.0,232.0,111.5,136.5,768.0,9.0
500,144.0,275.0,91.0,111.5,111.0,569.5,133.5
501,148.0,58.0,123.5,347.5,577.5,223.5,619.0
505,50.0,77.0,72.0,507.0,444.0,706.0,168.0
506,270.0,226.0,316.0,350.5,288.0,306.0,385.5
507,293.0,366.0,410.5,518.0,248.5,437.0,274.0
508,391.0,377.0,447.0,414.0,577.5,569.5,357.5
509,556.0,545.0,561.0,255.0,490.0,262.0,542.5
513,131.0,60.0,51.0,111.5,384.5,13.0,698.0
520,335.0,283.0,326.0,111.5,330.5,437.0,331.0
521,178.0,149.0,193.0,290.0,728.5,306.0,678.5
522,138.0,217.0,193.0,412.0,384.5,262.0,476.0
524,551.0,417.0,559.0,331.0,330.5,90.0,600.0
525,495.0,492.0,511.0,431.5,532.5,569.5,331.0
526,557.0,543.0,357.5,111.5,739.0,437.0,639.0
527,428.0,446.0,509.0,504.0,248.5,569.5,202.5
528,191.0,271.0,245.5,519.0,728.5,262.0,698.0
529,414.0,393.0,432.5,111.5,384.5,510.5,301.0
531,483.0,436.0,489.0,336.0,19.5,187.0,149.5
532,401.0,484.0,394.0,352.0,136.5,621.5,111.0
534,156.0,21.0,48.0,244.0,136.5,396.5,232.0
535,129.0,270.0,178.0,532.0,40.0,262.0,168.0
536,153.0,162.0,144.0,427.0,444.0,223.5,542.5
538,529.0,521.0,508.0,111.5,739.0,351.5,678.5
541,142.0,92.0,122.0,111.5,27.0,187.0,168.0
542,467.0,479.0,400.0,111.5,577.5,187.0,639.0
543,108.0,246.0,121.0,530.0,173.0,44.0,542.5
544,561.0,559.0,529.0,111.5,618.5,114.5,698.0
545,154.0,395.0,235.5,111.5,330.5,437.0,331.0
546,484.0,462.0,503.0,295.5,212.5,475.5,232.0
547,262.0,279.0,235.5,111.5,490.0,223.5,574.5
548,232.0,242.0,276.0,416.0,173.0,650.5,111.0
550,418.0,234.0,410.5,241.0,490.0,90.0,659.5
551,509.0,424.0,551.0,329.0,248.5,90.0,542.5
552,492.0,554.0,311.0,111.5,384.5,758.0,46.0
553,513.0,503.0,532.0,396.5,212.5,396.5,274.0
554,552.0,549.0,525.0,111.5,14.5,44.0,218.0
555,440.0,490.0,363.5,111.5,652.0,306.0,619.0
556,210.0,252.0,193.0,314.0,728.5,569.5,509.0
557,516.0,553.0,245.5,111.5,709.5,67.0,749.5
558,538.0,540.0,493.0,326.0,490.0,569.5,301.0
560,245.0,233.0,176.0,111.5,288.0,223.5,447.0
563,396.0,303.0,490.0,390.0,248.5,621.5,168.0
565,371.5,305.5,335.5,371.5,490.0,67.0,678.5
566,377.0,307.0,295.0,243.0,248.5,351.5,331.0
568,249.0,210.0,125.5,111.5,652.0,510.5,476.0
569,68.0,165.0,116.5,508.0,55.0,44.0,357.5
571,494.0,419.0,517.0,319.5,330.5,396.5,357.5
572,480.0,550.0,478.5,111.5,652.0,650.5,331.0
573,95.0,94.0,94.0,111.5,330.5,187.0,509.0
574,4.0,36.0,22.5,561.0,384.5,396.5,385.5
575,146.0,68.0,90.0,111.5,444.0,147.5,600.0
576,147.0,229.0,157.5,396.5,27.0,743.0,6.0
581,66.0,50.0,22.5,111.5,173.0,396.5,251.0
583,52.5,55.5,74.5,515.5,173.0,650.5,111.0
586,263.0,130.0,193.0,111.5,728.5,114.5,741.5
589,547.0,501.0,547.0,111.5,330.5,510.5,274.0
590,57.0,51.0,22.5,111.5,79.5,621.5,61.5
592,157.0,115.0,291.0,461.0,728.5,13.0,766.5
593,286.0,411.0,277.0,111.5,288.0,621.5,186.0
596,261.0,103.0,275.0,285.0,444.0,90.0,639.0
597,25.0,25.0,22.5,111.5,79.5,706.0,35.0
598,521.0,552.0,499.0,273.0,490.0,510.5,357.5
600,60.0,64.0,76.0,239.5,288.0,147.5,509.0
601,106.0,86.0,142.0,378.5,248.5,650.5,149.5
602,62.0,93.0,85.5,111.5,94.5,677.0,55.0
604,126.0,129.0,107.5,311.5,577.5,437.0,476.0
605,246.0,88.0,104.0,111.5,728.5,114.5,741.5
606,392.0,470.0,341.0,111.5,682.5,621.5,385.5
607,83.0,142.0,264.5,523.5,682.5,475.5,542.5
608,109.0,207.0,157.5,295.5,577.5,147.5,659.5
609,431.0,442.0,379.0,111.5,444.0,396.5,418.0
610,103.0,139.0,133.5,452.5,136.5,262.0,301.0
611,231.0,170.0,305.0,390.0,532.5,510.5,385.5
612,205.0,53.0,157.5,111.5,618.5,621.5,331.0
613,185.0,385.0,157.5,111.5,739.0,595.5,509.0
615,37.0,66.0,60.0,495.0,532.5,706.0,202.5
616,497.0,524.0,434.0,299.5,248.5,396.5,301.0
617,208.0,235.0,231.0,436.0,288.0,621.5,186.0
618,455.0,413.0,497.0,298.0,173.0,437.0,232.0
619,456.0,476.0,470.0,111.5,330.5,351.5,385.5
621,46.0,61.0,47.0,111.5,173.0,650.5,111.0
623,12.0,19.0,22.5,111.5,212.5,541.5,202.5
624,461.0,523.0,452.0,111.5,173.0,677.0,87.5
625,59.0,128.0,66.0,111.5,33.5,396.5,87.5
626,94.0,47.0,69.0,111.5,288.0,730.0,71.0
627,76.0,31.0,22.5,111.5,577.5,475.5,447.0
629,47.0,30.0,22.5,111.5,173.0,569.5,168.0
631,534.0,511.0,531.0,249.0,618.5,306.0,600.0
632,514.0,505.0,548.0,486.0,444.0,475.5,357.5
633,30.0,85.0,22.5,111.5,490.0,306.0,509.0
636,444.0,463.0,473.0,315.5,709.5,396.5,619.0
638,221.0,260.0,206.0,355.0,652.0,694.0,274.0
639,255.0,206.0,106.0,111.5,330.5,541.5,251.0
640,48.5,101.5,55.5,344.5,490.0,475.5,385.5
643,169.0,116.0,116.5,111.5,762.0,187.0,755.5
644,238.0,285.0,235.5,230.0,618.5,306.0,600.0
646,284.0,373.0,257.0,111.5,384.5,67.0,639.0
648,415.0,396.0,486.0,236.0,532.5,475.5,418.0
649,544.0,520.0,549.0,375.0,490.0,351.5,476.0
650,308.0,104.0,333.5,111.5,618.5,475.5,476.0
651,48.5,101.5,55.5,344.5,136.5,262.0,301.0
653,550.0,560.0,315.0,111.5,136.5,187.0,357.5
657,72.0,107.0,128.0,503.0,577.5,510.5,418.0
658,170.0,248.0,326.0,511.0,40.0,694.0,21.5
661,212.0,73.0,141.0,288.0,212.5,694.0,87.5
662,541.0,481.0,522.0,111.5,532.5,306.0,542.5
663,198.0,376.0,310.0,548.0,682.5,114.5,727.0
664,99.0,72.0,62.0,111.5,577.5,223.5,619.0
667,230.0,230.0,312.0,423.5,79.5,541.5,111.0
668,218.0,121.0,281.0,261.0,652.0,475.5,509.0
669,400.0,398.0,428.0,383.5,248.5,262.0,385.5
670,448.0,438.0,422.0,413.0,490.0,306.0,509.0
671,187.0,223.0,227.0,339.5,682.5,569.5,447.0
672,412.0,445.0,370.0,111.5,444.0,351.5,447.0
674,296.0,196.0,193.0,111.5,444.0,677.0,202.5
678,41.0,14.0,22.5,111.5,490.0,569.5,301.0
679,301.0,240.0,352.0,227.0,27.0,718.5,9.0
680,98.0,118.0,105.0,409.5,444.0,437.0,385.5
681,291.0,253.0,252.5,111.5,384.5,541.5,274.0
682,302.0,312.0,245.5,111.5,173.0,650.5,111.0
683,402.0,538.0,420.0,523.5,618.5,262.0,619.0
684,216.0,157.0,157.5,111.5,618.5,5.0,755.5
685,473.5,530.5,540.5,273.0,111.0,569.5,133.5
687,2.0,15.0,22.5,560.0,577.5,67.0,714.5
689,403.0,407.0,274.0,111.5,66.5,396.5,168.0
690,75.0,59.0,85.5,111.5,747.5,262.0,727.0
691,174.0,282.0,157.5,111.5,618.5,67.0,727.0
692,376.0,358.0,385.0,111.5,288.0,437.0,301.0
697,196.0,182.0,396.0,530.0,248.5,718.5,71.0
698,328.0,301.0,395.0,444.0,111.0,114.5,385.5
701,285.0,251.0,230.0,111.5,444.0,44.0,678.5
