,tw_vad_comp_r,tw_vader_neg75_r,tw_vader_pos_r,tw_vader_neg_r,PANAS_Pos_r,PANAS_Neg_r,tot_affect_r
2,190.0,72.5,90.0,93.0,682.5,44.0,749.5
4,236.0,283.0,358.0,306.0,384.5,13.0,698.0
6,339.0,265.5,334.0,163.0,111.0,262.0,274.0
7,162.0,327.5,243.0,329.0,79.5,510.5,133.5
8,337.0,378.0,388.0,340.0,444.0,396.5,418.0
10,407.0,72.5,453.0,120.0,384.5,90.0,619.0
12,124.0,397.5,181.0,383.0,55.0,752.5,7.0
13,98.0,238.0,152.0,326.0,288.0,67.0,600.0
14,454.0,72.5,456.0,52.0,652.0,262.0,639.0
18,273.0,303.0,246.0,255.0,384.5,541.5,274.0
20,257.0,72.5,219.0,198.0,212.5,621.5,149.5
21,50.0,72.5,92.0,108.0,384.5,262.0,476.0
22,308.5,198.5,414.5,317.5,652.0,396.5,574.5
23,71.0,296.0,41.0,344.0,384.5,771.0,16.5
24,423.0,72.5,440.0,143.0,288.0,694.0,133.5
26,37.0,411.0,192.0,424.0,66.5,437.0,149.5
28,75.5,438.0,100.5,357.5,682.5,262.0,659.5
29,39.0,332.5,87.0,403.0,709.5,262.0,678.5
30,216.0,72.5,285.0,208.0,490.0,306.0,509.0
31,128.0,72.5,119.0,260.0,173.0,650.5,111.0
32,28.0,467.0,161.0,462.0,618.5,1.5,759.0
34,392.0,151.0,426.0,247.0,248.5,13.0,639.0
36,341.0,72.5,354.0,125.0,490.0,510.5,357.5
38,184.0,430.0,324.0,420.0,771.0,44.0,770.0
40,474.0,72.5,428.0,12.0,444.0,694.0,186.0
41,332.0,184.5,321.0,187.0,532.5,475.5,418.0
42,58.0,366.0,88.0,349.0,55.0,595.5,55.0
43,397.0,164.0,370.0,105.0,577.5,475.5,447.0
45,381.0,149.0,224.0,55.0,384.5,677.0,186.0
50,274.0,250.0,158.0,209.0,14.5,90.0,186.0
51,289.0,244.5,351.0,242.0,288.0,747.5,46.0
52,315.0,160.0,364.0,259.0,577.5,437.0,476.0
55,244.0,72.5,272.0,203.0,618.5,437.0,509.0
57,280.0,305.5,213.0,296.0,384.5,541.5,274.0
58,476.0,72.5,421.0,19.0,55.0,743.0,11.0
62,151.5,206.0,26.5,121.5,490.0,187.0,600.0
63,447.0,162.0,422.0,71.0,111.0,147.5,357.5
64,89.0,291.0,76.0,262.0,771.0,13.0,771.0
65,456.0,72.5,464.0,41.0,248.5,677.0,133.5
66,40.0,397.5,34.0,277.0,9.5,114.5,133.5
69,417.0,72.5,89.0,9.0,709.5,223.5,698.0
72,219.0,424.0,450.0,466.0,288.0,187.0,476.0
73,241.0,72.5,7.0,4.5,288.0,187.0,476.0
74,102.5,438.0,187.5,431.5,288.0,187.0,476.0
75,194.0,253.0,199.0,287.0,212.5,763.0,21.5
76,2.0,464.0,6.0,473.0,173.0,475.5,218.0
77,95.0,385.0,66.0,359.0,577.5,694.0,232.0
78,182.0,230.0,148.0,230.0,490.0,26.0,714.5
80,252.0,362.5,295.0,365.0,288.0,351.5,357.5
81,265.0,72.5,149.0,79.0,709.5,187.0,714.5
83,72.0,157.0,69.0,207.0,444.0,510.5,331.0
89,325.0,232.0,292.0,159.0,444.0,26.0,698.0
93,310.0,219.5,238.0,168.0,173.0,223.5,357.5
94,20.0,460.0,58.0,452.0,66.5,541.5,87.5
95,374.0,434.0,469.0,445.0,652.0,396.5,574.5
97,400.0,72.5,359.0,74.0,288.0,262.0,418.0
98,142.0,362.5,195.0,356.0,682.5,396.5,600.0
100,388.0,72.5,366.0,84.0,136.5,752.5,21.5
101,201.0,72.5,106.0,127.0,136.5,510.5,186.0
103,163.0,262.5,118.0,241.0,384.5,718.5,133.5
104,440.0,72.5,404.0,4.5,66.5,718.5,26.0
105,173.0,367.5,140.0,335.0,762.0,147.5,759.0
106,275.0,158.0,320.0,229.0,577.5,351.5,542.5
107,136.0,372.5,175.0,405.0,288.0,437.0,301.0
109,239.0,167.0,62.0,111.0,652.0,147.5,698.0
111,272.0,72.5,156.0,82.0,14.5,737.5,4.0
112,359.0,321.5,368.0,272.0,384.5,569.5,251.0
114,351.0,252.0,305.0,158.0,212.5,763.0,21.5
115,448.0,353.5,472.0,338.0,9.5,187.0,87.5
116,170.0,378.0,240.0,382.0,739.0,396.5,659.5
117,61.0,271.5,64.0,314.0,288.0,351.5,357.5
118,172.0,327.5,254.0,371.0,248.5,621.5,168.0
119,32.0,415.0,134.0,461.0,248.5,147.5,476.0
120,419.0,168.5,409.0,128.0,490.0,187.0,600.0
122,88.0,393.0,227.0,399.0,9.5,44.0,186.0
124,334.0,212.0,294.0,174.0,532.5,262.0,574.5
127,420.0,72.5,383.0,36.0,652.0,67.0,735.5
128,83.0,402.0,94.0,370.0,532.5,306.0,542.5
129,17.0,471.0,77.0,471.0,330.5,510.5,274.0
132,102.5,438.0,187.5,431.5,444.0,147.5,600.0
133,21.0,462.0,83.0,467.0,288.0,694.0,133.5
134,373.0,184.5,385.0,164.0,384.5,67.0,639.0
135,174.0,394.0,211.0,311.0,618.5,147.5,678.5
136,375.0,161.0,391.0,144.0,747.5,90.0,759.0
139,240.0,332.5,278.0,352.0,384.5,306.0,447.0
140,206.0,400.0,279.0,398.0,111.0,475.5,186.0
141,470.0,72.5,386.0,15.0,652.0,44.0,741.5
143,1.0,218.0,3.0,380.0,767.5,569.5,639.0
145,320.0,72.5,239.0,68.0,728.5,694.0,357.5
146,107.0,173.0,22.0,169.0,532.5,437.0,447.0
148,394.0,165.0,348.0,110.0,94.5,730.0,29.5
152,164.0,355.5,164.0,319.0,330.5,262.0,447.0
153,396.0,72.5,173.0,23.0,755.5,650.5,509.0
154,421.0,298.0,397.0,249.0,248.5,650.5,149.5
156,258.0,72.5,291.0,231.0,755.5,187.0,749.5
158,26.0,469.0,223.0,468.0,682.5,223.5,678.5
160,104.0,244.5,31.0,181.0,384.5,262.0,476.0
161,442.0,72.5,454.0,100.0,384.5,114.5,600.0
168,368.0,302.0,441.0,309.0,709.5,147.5,727.0
170,379.0,250.0,197.0,83.0,709.5,262.0,678.5
173,404.0,284.5,352.0,185.0,212.5,541.5,202.5
174,81.0,350.0,86.0,332.0,728.5,396.5,639.0
175,300.0,382.0,390.0,373.0,652.0,510.5,476.0
176,372.0,367.5,442.0,400.0,762.0,114.5,763.5
177,305.0,72.5,208.0,99.0,652.0,396.5,574.5
179,226.0,346.5,201.0,271.0,532.5,650.5,251.0
180,333.0,327.5,369.0,312.0,384.5,223.5,509.0
182,376.0,319.0,431.0,342.0,532.5,306.0,542.5
185,60.0,301.0,59.0,368.0,288.0,306.0,385.5
186,86.0,406.0,115.0,377.0,136.5,595.5,133.5
187,426.0,72.5,293.0,91.0,212.5,147.5,447.0
189,187.0,279.0,150.0,254.0,248.5,437.0,274.0
192,46.0,446.0,155.0,450.0,330.5,351.5,385.5
193,415.0,72.5,427.0,77.0,652.0,650.5,331.0
197,64.0,268.0,36.0,324.0,94.5,752.5,13.0
199,411.0,341.5,437.0,322.0,490.0,351.5,476.0
200,5.0,466.0,3.0,479.0,2.5,223.5,46.0
207,192.0,72.5,93.0,129.0,444.0,706.0,168.0
208,74.0,350.0,30.0,302.0,55.0,541.5,71.0
209,378.0,72.5,401.0,133.0,330.5,510.5,274.0
210,355.0,72.5,222.0,57.0,652.0,706.0,251.0
211,230.0,72.5,38.0,54.0,577.5,114.5,678.5
214,393.0,226.0,374.0,195.0,111.0,67.0,447.0
215,270.0,358.5,325.0,379.0,767.5,475.5,698.0
217,146.0,395.0,252.0,396.0,248.5,114.5,509.0
218,251.0,72.5,269.0,223.0,490.0,223.5,574.5
220,361.0,419.0,444.0,416.0,40.0,677.0,26.0
223,233.0,455.0,402.0,477.0,330.5,351.5,385.5
225,137.0,308.0,136.0,316.0,212.5,44.0,574.5
226,276.0,232.0,163.0,183.0,728.5,306.0,678.5
227,196.5,244.5,236.5,243.5,652.0,147.5,698.0
230,75.5,438.0,100.5,357.5,532.5,621.5,274.0
231,42.0,345.0,56.0,341.0,577.5,569.5,357.5
232,112.5,430.0,247.5,441.5,384.5,262.0,476.0
235,111.0,404.0,131.0,404.0,330.5,694.0,149.5
236,141.0,269.5,45.0,234.0,173.0,650.5,111.0
240,185.0,72.5,168.0,161.0,173.0,147.5,418.0
244,403.0,72.5,344.0,49.0,577.5,475.5,447.0
245,147.0,427.0,271.0,428.0,444.0,541.5,301.0
246,360.0,265.5,355.0,220.0,618.5,306.0,600.0
247,316.0,210.0,267.0,197.0,618.5,147.5,678.5
249,157.0,418.0,234.0,384.0,330.5,351.5,385.5
250,406.0,166.0,434.0,202.0,79.5,26.0,447.0
253,199.0,441.0,283.0,422.0,490.0,306.0,509.0
254,302.0,315.0,310.0,285.0,212.5,730.0,55.0
255,261.0,353.5,244.0,286.0,94.5,730.0,29.5
256,202.0,385.0,312.0,401.0,577.5,396.5,509.0
257,10.0,478.0,174.0,476.0,27.0,396.5,71.0
258,180.5,276.0,72.5,189.5,27.0,396.5,71.0
261,306.0,374.0,276.0,288.0,490.0,223.5,574.5
264,264.0,312.0,284.0,204.0,288.0,187.0,476.0
265,31.0,358.5,96.0,305.0,288.0,475.5,274.0
266,439.0,72.5,360.0,40.0,532.5,396.5,476.0
271,416.0,72.5,389.0,73.0,288.0,706.0,111.0
272,473.0,72.5,476.0,4.5,618.5,187.0,659.5
273,167.0,321.5,204.0,303.0,652.0,621.5,357.5
274,100.0,300.0,126.0,331.0,532.5,67.0,698.0
276,134.0,72.5,210.0,276.0,55.0,306.0,186.0
278,139.0,187.0,144.0,307.0,384.5,510.5,301.0
279,462.0,191.5,436.0,60.0,682.5,187.0,698.0
281,348.0,72.5,289.0,56.0,490.0,262.0,542.5
282,322.0,318.0,367.0,265.0,46.5,706.0,21.5
283,149.0,72.5,142.0,239.0,384.5,187.0,542.5
285,117.0,438.0,226.0,434.0,212.5,147.5,447.0
288,450.0,178.0,429.0,69.0,248.5,541.5,218.0
290,324.0,72.5,303.0,156.0,577.5,396.5,509.0
291,224.0,175.0,35.0,85.0,248.5,223.5,418.0
301,82.0,147.0,61.0,320.0,444.0,90.0,639.0
305,465.0,72.5,448.0,22.0,79.5,13.0,476.0
306,140.0,378.0,261.0,374.0,136.5,677.0,71.0
307,340.0,258.5,280.0,238.0,94.5,262.0,251.0
308,67.0,446.0,209.0,447.0,288.0,187.0,476.0
311,335.0,72.5,141.0,27.0,652.0,306.0,619.0
312,294.0,72.5,381.0,213.0,577.5,351.5,542.5
314,259.0,358.5,372.0,355.0,55.0,262.0,202.5
315,271.0,286.5,299.0,264.0,288.0,187.0,476.0
317,115.0,371.0,176.0,410.0,532.5,650.5,251.0
318,464.0,72.5,468.0,75.0,652.0,396.5,574.5
319,312.0,404.0,375.0,417.0,652.0,187.0,678.5
322,108.0,408.0,189.0,413.0,330.5,147.5,542.5
324,57.0,250.0,39.0,263.0,111.0,67.0,447.0
325,196.5,244.5,236.5,243.5,682.5,147.5,714.5
328,84.0,284.5,102.0,253.0,79.5,541.5,111.0
330,41.0,459.0,242.0,429.0,27.0,677.0,16.5
331,34.0,378.0,40.0,414.0,66.5,437.0,149.5
337,366.0,154.5,160.0,50.0,709.5,262.0,678.5
338,451.0,175.0,449.0,95.0,212.5,730.0,55.0
339,217.0,72.5,11.0,21.0,248.5,44.0,600.0
342,54.0,450.0,117.0,433.0,532.5,437.0,447.0
343,3.0,474.5,14.0,475.0,111.0,595.5,111.0
346,449.0,72.5,419.0,30.0,111.0,44.0,476.0
351,116.0,327.5,116.0,261.0,136.5,718.5,46.0
352,466.0,72.5,435.0,20.0,248.5,351.5,331.0
356,51.0,72.5,21.0,130.0,490.0,510.5,357.5
358,212.0,443.0,379.0,436.0,33.5,90.0,232.0
359,4.0,468.0,13.0,423.0,288.0,114.5,542.5
361,243.0,226.0,170.0,200.0,739.0,114.5,749.5
362,207.0,260.5,235.0,308.0,384.5,541.5,274.0
365,377.0,221.0,452.0,347.0,212.5,510.5,218.0
366,24.0,421.0,25.0,375.0,248.5,718.5,71.0
369,301.0,72.5,345.0,215.0,728.5,114.5,741.5
370,56.0,312.0,29.0,251.0,111.0,306.0,251.0
372,214.0,222.0,185.0,216.0,248.5,351.5,331.0
373,349.5,72.5,340.5,114.5,618.5,13.0,749.5
374,220.0,145.0,78.0,61.0,444.0,306.0,476.0
376,250.0,372.5,326.0,350.0,212.5,223.5,385.5
378,460.5,72.5,445.5,44.5,618.5,437.0,509.0
380,231.5,332.5,179.5,256.5,248.5,475.5,251.0
385,99.0,150.0,71.0,282.0,709.5,621.5,418.0
386,353.0,72.5,376.0,165.0,755.5,650.5,509.0
388,292.0,72.5,255.0,94.0,577.5,44.0,727.0
390,237.0,159.0,162.0,193.0,444.0,67.0,659.5
392,319.0,72.5,331.0,119.0,618.5,147.5,678.5
393,77.0,410.0,70.0,415.0,384.5,396.5,385.5
397,38.0,458.0,229.0,453.0,444.0,475.5,357.5
398,371.0,72.5,313.0,43.0,739.0,437.0,639.0
399,175.0,254.0,167.0,280.0,173.0,677.0,87.5
400,179.0,170.0,75.0,142.0,330.5,44.0,639.0
401,475.0,72.5,451.0,14.0,767.5,262.0,749.5
402,248.0,72.5,143.0,132.0,46.5,114.5,251.0
404,160.5,453.0,338.5,454.5,212.5,694.0,87.5
405,414.0,72.5,400.0,104.0,652.0,262.0,639.0
406,120.0,244.5,110.0,245.0,173.0,718.5,55.0
407,8.0,479.0,85.0,478.0,577.5,621.5,301.0
408,253.0,286.5,258.0,267.0,444.0,44.0,678.5
409,119.0,400.0,203.0,407.0,46.5,706.0,21.5
411,434.0,72.5,406.0,42.0,762.0,114.5,763.5
412,7.0,470.0,16.0,464.0,532.5,510.5,385.5
413,382.5,72.5,411.5,153.5,330.5,306.0,418.0
414,65.0,432.0,103.0,440.0,384.5,510.5,301.0
415,91.0,72.5,49.0,171.0,212.5,187.0,418.0
417,178.0,289.0,91.0,268.0,747.5,396.5,678.5
418,165.0,390.0,112.0,336.0,288.0,306.0,385.5
419,25.0,391.5,51.0,385.0,79.5,758.0,9.0
421,101.0,434.0,265.0,435.0,212.5,650.5,133.5
422,297.0,238.0,114.0,135.0,652.0,475.5,509.0
423,455.0,72.5,465.0,72.0,709.5,26.0,759.0
427,247.0,201.5,263.0,299.0,532.5,67.0,698.0
428,176.0,72.5,120.0,103.0,709.5,262.0,678.5
429,307.0,72.5,330.0,235.0,79.5,306.0,218.0
430,52.0,457.0,169.0,456.0,384.5,351.5,418.0
431,354.0,171.0,275.0,109.0,384.5,262.0,476.0
432,268.0,352.0,343.0,351.0,136.5,706.0,55.0
435,87.0,179.0,124.0,298.0,618.5,541.5,418.0
437,123.0,281.0,48.0,222.0,33.5,595.5,35.0
439,290.0,369.5,378.0,362.0,618.5,26.0,741.5
443,223.0,413.0,349.0,411.0,532.5,114.5,659.5
446,286.0,175.0,190.0,90.0,444.0,223.5,542.5
448,433.0,153.0,371.0,102.0,288.0,510.5,251.0
449,428.0,200.0,405.0,106.0,288.0,569.5,218.0
451,249.0,416.0,249.0,364.0,136.5,223.5,331.0
455,401.0,355.5,438.0,274.0,27.0,67.0,232.0
458,49.0,240.0,15.0,149.0,212.5,730.0,55.0
460,336.0,180.5,316.0,217.0,111.0,67.0,447.0
464,47.5,421.0,98.5,438.5,248.5,262.0,385.5
465,389.0,72.5,95.0,28.0,490.0,569.5,301.0
467,16.0,448.0,20.0,443.0,618.5,621.5,331.0
468,477.0,72.5,478.0,13.0,94.5,510.5,149.5
471,129.0,72.5,10.0,10.0,747.5,262.0,727.0
472,311.0,216.5,245.0,145.0,577.5,90.0,698.0
474,399.0,413.0,403.0,444.0,709.5,187.0,714.5
476,344.0,72.5,304.0,134.0,330.5,306.0,418.0
478,284.0,341.5,287.0,266.0,288.0,147.5,509.0
479,427.0,72.5,466.0,210.0,709.5,541.5,509.0
481,412.0,72.5,425.0,117.0,682.5,187.0,698.0
482,282.5,72.5,322.5,176.5,532.5,262.0,574.5
488,66.0,72.5,32.0,221.0,444.0,541.5,301.0
489,478.0,72.5,479.0,4.5,173.0,650.5,111.0
490,408.0,72.5,474.0,327.0,173.0,351.5,274.0
491,436.0,72.5,413.0,66.0,709.5,223.5,698.0
492,121.0,196.0,217.0,346.0,444.0,223.5,542.5
495,231.5,332.5,179.5,256.5,444.0,650.5,218.0
496,429.0,299.0,420.0,228.0,682.5,475.5,542.5
503,96.0,182.5,60.0,236.0,384.5,437.0,357.5
504,295.0,456.0,393.0,458.0,19.5,747.5,2.0
505,110.0,273.0,63.0,294.0,444.0,706.0,168.0
507,155.0,451.0,301.0,437.0,248.5,437.0,274.0
508,105.0,385.0,146.0,360.0,577.5,569.5,357.5
509,391.0,276.0,399.0,323.0,490.0,262.0,542.5
510,365.0,289.0,439.0,313.0,490.0,541.5,331.0
513,245.0,72.5,218.0,98.0,384.5,13.0,698.0
514,79.0,463.0,259.0,465.0,66.5,694.0,35.0
516,413.0,152.0,382.0,140.0,577.5,306.0,574.5
517,22.0,474.5,178.0,474.0,111.0,621.5,87.5
520,85.0,72.5,67.0,199.0,330.5,437.0,331.0
522,330.0,190.0,257.0,167.0,384.5,262.0,476.0
523,166.0,423.0,286.0,426.0,111.0,541.5,149.5
524,468.0,293.0,461.0,173.0,330.5,90.0,600.0
525,385.0,265.5,408.0,246.0,532.5,569.5,331.0
527,458.0,362.5,473.0,290.0,248.5,569.5,202.5
528,133.0,72.5,9.0,11.0,728.5,262.0,698.0
530,444.0,72.5,460.0,67.0,682.5,67.0,741.5
532,314.0,182.5,250.0,123.0,136.5,621.5,111.0
535,215.0,378.0,230.0,339.0,40.0,262.0,168.0
536,143.0,321.5,133.0,295.0,444.0,223.5,542.5
537,329.0,244.5,270.0,191.0,618.5,187.0,659.5
538,472.0,72.5,471.0,37.0,739.0,351.5,678.5
540,246.0,72.5,121.0,81.0,79.5,437.0,168.0
542,266.0,369.5,387.0,369.0,577.5,187.0,639.0
544,6.0,476.0,8.0,459.0,618.5,114.5,698.0
546,445.0,72.5,377.0,29.0,212.5,475.5,232.0
547,169.0,72.5,233.0,225.0,490.0,223.5,574.5
550,384.0,168.5,122.0,46.0,490.0,90.0,659.5
552,405.0,203.0,333.0,101.0,384.5,758.0,46.0
556,145.0,321.5,214.0,367.0,728.5,569.5,509.0
557,347.0,72.5,328.0,131.0,709.5,67.0,749.5
559,70.0,389.0,55.0,293.0,709.5,187.0,714.5
560,135.0,72.5,74.0,196.0,288.0,223.5,447.0
563,210.0,293.0,130.0,211.0,248.5,621.5,168.0
565,204.5,256.0,165.5,232.5,490.0,67.0,678.5
566,431.0,72.5,407.0,141.0,248.5,351.5,331.0
568,342.0,154.5,277.0,160.0,652.0,510.5,476.0
569,9.0,295.0,12.0,138.0,55.0,44.0,357.5
570,18.0,461.0,50.0,463.0,618.5,13.0,749.5
572,313.0,265.5,361.0,252.0,652.0,650.5,331.0
573,156.0,72.5,33.0,112.0,330.5,187.0,509.0
575,285.0,327.5,260.0,237.0,444.0,147.5,600.0
577,457.0,172.0,477.0,397.0,55.0,306.0,186.0
578,435.0,72.5,418.0,86.0,444.0,718.5,149.5
581,118.0,72.5,123.0,300.0,173.0,396.5,251.0
589,467.0,72.5,467.0,25.0,330.5,510.5,274.0
591,453.0,327.5,455.0,270.0,490.0,621.5,251.0
592,327.0,346.5,332.0,281.0,728.5,13.0,766.5
593,159.0,216.5,105.0,240.0,288.0,621.5,186.0
594,68.0,177.0,23.0,226.0,330.5,475.5,301.0
595,346.0,72.5,205.0,58.0,27.0,595.5,29.5
596,304.0,72.5,145.0,59.0,444.0,90.0,639.0
599,452.0,72.5,457.0,31.0,444.0,187.0,574.5
601,228.0,316.5,171.0,279.0,248.5,650.5,149.5
602,55.0,305.5,108.0,412.0,94.5,677.0,55.0
605,317.0,146.0,132.0,65.0,728.5,114.5,741.5
606,323.0,72.5,297.0,179.0,682.5,621.5,385.5
607,15.0,477.0,177.0,460.0,682.5,475.5,542.5
609,242.0,234.5,193.0,97.0,444.0,396.5,418.0
610,97.0,400.0,251.0,425.0,136.5,262.0,301.0
611,154.0,305.5,84.0,250.0,532.5,510.5,385.5
612,168.0,446.0,298.0,427.0,618.5,621.5,331.0
615,269.0,337.0,266.0,333.0,532.5,706.0,202.5
616,209.0,337.0,184.0,328.0,248.5,396.5,301.0
617,189.0,309.0,274.0,334.0,288.0,621.5,186.0
618,380.0,180.5,327.0,113.0,173.0,437.0,232.0
621,94.0,72.5,68.0,275.0,173.0,650.5,111.0
622,53.0,348.0,82.0,378.0,330.5,737.5,71.0
623,390.0,72.5,154.0,35.0,212.5,541.5,202.5
624,235.0,226.0,253.0,304.0,173.0,677.0,87.5
626,299.0,72.5,194.0,53.0,288.0,730.0,71.0
630,281.0,204.0,182.0,146.0,577.5,396.5,509.0
631,343.0,219.5,311.0,157.0,618.5,306.0,600.0
632,441.0,72.5,430.0,96.0,444.0,475.5,357.5
634,30.0,442.0,113.0,449.0,444.0,769.5,29.5
635,262.0,350.0,264.0,381.0,40.0,475.5,71.0
636,218.0,226.0,212.0,155.0,709.5,396.5,619.0
637,357.0,72.5,356.0,148.0,709.5,114.5,735.5
638,469.0,72.5,423.0,18.0,652.0,694.0,274.0
639,234.0,212.0,127.0,126.0,330.5,541.5,251.0
641,44.0,434.0,159.0,446.0,330.5,306.0,418.0
647,63.0,282.0,47.0,325.0,747.5,26.0,768.0
648,422.0,72.5,384.0,39.0,532.5,475.5,418.0
649,138.0,362.5,138.0,297.0,490.0,351.5,476.0
653,318.0,72.5,347.0,147.0,136.5,187.0,357.5
654,238.0,212.0,196.0,178.0,288.0,306.0,385.5
655,352.0,316.5,380.0,258.0,444.0,677.0,202.5
656,73.0,425.5,109.0,393.0,490.0,437.0,418.0
659,356.0,449.0,392.0,421.0,136.5,595.5,133.5
661,208.0,72.5,231.0,180.0,212.5,694.0,87.5
